Kode	Tekst
UXCG25	CT-skanning af knæ
UXCG30	CT-skanning af crus
UXCG40	CT-skanning af fodled
UXCG50	CT-skanning af fod
UXCG80	CT-osteodensitometri af hofte
UXM	MR-skanninger
UXMA	MR-skanninger af hoved
UXMA00	MR-skanning af cerebrum
UXMA05	MR-skanning af kranieknogler
UXMA10	MR-skanning af hypofyse
UXMA11	MR-skanning af hippocampus
UXMA11A	MR-skanning af hippocampus med volumetri (MR-HCV)
UXMA12	MR-skanning af fossa posterior
UXMA15	MR-skanning af hjernestamme
UXMA16	MR-skanning af mellemøre
UXMA20	MR-skanning af orbita
UXMA40	MR-skanning af bihuler, inkl. cavum nasi
UXMA60	MR-skanning af rhino-oropharynx
UXMA65	MR-skanning af kæbeled
UXMA75	MR-skanning af spytkirtler
UXMB	MR-skanninger af hals
UXMB00	MR-skanning af hals
UXMB10	MR-skanning af glandula thyroidea og glandulae parathyroideae
UXMC	MR-skanninger af thorax
UXMC00	MR-skanning af thorax
UXMC10	MR-skanning af thoraxvæg
UXMC20	MR-skanning af clavicel
UXMC30	MR-skanning af sternoclavicularled
UXMC35	MR-skanning af sternum
UXMC40	MR-skanning af mamma
UXMC40A	MR-skanning af mamma, klinisk
UXMC40B	MR-skanning af mamma, screening
UXMC47	MR-vejledt nålemarkering i mamma
UXMC50	MR-skanning af øsofagus
UXMC60	MR-skanning af mediastinum
UXMC70	MR-skanning af aorta thoracalis
UXMC80	MR-skanning af hjertet
UXMC90	MR-skanning af plexus brachialis
UXMD	MR-skanninger af abdomen og bækken
UXMD10	MR-skanning af øvre abdomen
UXMD15	MR-skanning af nedre abdomen, inkl. bækken
UXMD20	MR-skanning af retroperitoneum
UXMD22	MR-skanning af abdominalvæg
UXMD25	MR-skanning af mave-tarmkanal
UXMD25A	MR-skanning af tyndtarm
UXMD25B	MR-skanning af tyktarm
UXMD30	MR-skanning af aorta abdominalis
UXMD40	MR-skanning af lever
UXMD50	MR-cholangio-pancreaticografi (MRCP)
UXMD55	MR-skanning af pancreas
UXMD60	MR-skanning af nyrer
UXMD62	MR-urografi
UXMD65	MR-skanning af binyrer
UXMD75	MR-skanning af blære
UXMD80	MR-skanning af genitalia feminina
UXMD85	MR-skanning af foster
UXMD90	MR-skanning af genitalia maskulina
UXMD92	MR-skanning af prostata
UXME	MR-skanninger af columna
UXME00	MR-skanning af columna
UXME10	MR-skanning af columna cervicalis
UXME15	MR-myelografi af medulla cervicalis
UXME20	MR-skanning af columna thoracalis
UXME25	MR-myelografi af medulla thoracalis
UXME30	MR-skanning af columna lumbalis
UXME30A	MR-skanning af plexus lumbo-sacralis
UXME40	MR-myelografi, lumbal
UXME50	MR-skanning af os sacrum
UXMF	MR-skanninger af overekstremitet
UXMF00	MR-skanning af overekstremitet
UXMF10	MR-skanning af skulder
UXMF20	MR-skanning af overarm
UXMF25	MR-skanning af albue
UXMF30	MR-skanning af underarm
UXMF40	MR-skanning af håndled
UXMF45	MR-skanning af os scaphoideum
UXMF50	MR-skanning af hånd og fingre
UXMF90	Arbejdstest, MR-spektroskopi af muskler, overekstremitet
UXMG	MR-skanninger af underekstremitet
UXMG00	MR-skanning af underekstremitet
UXMG10	MR-skanning af bækken, inkl. begge hofteled
UXMG11	MR-skanning af sakroiliakaled
UXMG15	MR-skanning af hofteled
UXMG20	MR-skanning af femur
UXMG25	MR-skanning af knæ
UXMG30	MR-skanning af crus
UXMG40	MR-skanning af fodled
UXMG50	MR-skanning af fod og tæer
UXMG90	Arbejdstest, MR-spektroskopi af muskler, underekstremitet
UXMH	MR-skanning af hele kroppen
UXMH00	MR-skanning af hele kroppen
UXR	Røntgenundersøgelser
UXRA	Røntgenundersøgelser af hoved
UXRA05	Røntgenundersøgelse af kranie
UXRA07	Røntgenundersøgelse af kranie med cephalostat
UXRA10	Røntgenundersøgelse af sella turcica
UXRA15	Røntgenundersøgelse af os temporale
UXRA20	Røntgenundersøgelse af orbita
UXRA25	Røntgenundersøgelse af ansigtsskelet
UXRA35	Røntgenundersøgelse af ductus lacrimalis med kontraststof
UXRA40	Røntgenundersøgelse af bihuler
UXRA45	Ortopan-tomografi af kæber
UXRA50	Panoramix-optagelse af kæber
UXRA55	Enoral optagelse af tænder
UXRA60	Røntgenundersøgelse af underkæbe
UXRA65	Røntgenundersøgelse af kæbeled
UXRA75	Oversigtsoptagelse af spytkirtler
UXRA80	Sialografi
UXRA90	Totalskelet - screening af børn mhp. batterred child
UXRA91	Totalskelet-screening af kvitteret foster eller dødfødt barn
UXRB	Røntgenundersøgelser af hals
UXRB00	Røntgenundersøgelse af hals
UXRB20	Røntgenundersøgelse af larynx
UXRB25	Røntgenundersøgelse af trachea
UXRC	Røntgenundersøgelser af thorax
UXRC00	Røntgenundersøgelse af thorax
UXRC05	Gennemlysning af thorax
UXRC10	Røntgenundersøgelse af thorax, inkl. specialprojektion
UXRC12	Røntgenundersøgelse af thorax med kontrast i CVK (centralt venekateter)
UXRC20	Røntgenundersøgelse af clavicula
UXRC25	Røntgenundersøgelse af costae
UXRC30	Røntgenundersøgelse af sternoclaviculærled
UXRC35	Røntgenundersøgelse af sternum
UXRC40	Klinisk mammografi
UXRC40A	Mamma tomosyntese, klinisk
UXRC45	Mammografi, screening
UXRC45A	Mamma tomosyntese, screening
UXRC46	Stereotaktisk anlæggelse af coil i mamma
UXRC47	Røntgenvejledt nålemarkering i mamma
UXRC48	Cystografi af mamma
UXRC49	Galactografi af mamma
UXRC50	Røntgenundersøgelse af øsofagus med kontraststof
UXRC52	Røntgenundersøgelse af øsofagus med dokumentation af funktion
UXRD	Røntgenundersøgelser af abdomen
UXRD00	Oversigtsoptagelse af abdomen
UXRD05	Røntgenundersøgelse af ventrikel med kontraststof
UXRD10	Røntgenundersøgelse af ventrikel med kontraststof og føde
UXRD15	Tyndtarmspassage
UXRD20	Tyndtarm med indgift af kontraststof gennem sonde
UXRD25	Røntgenundersøgelse af kolon
UXRD31	Røntgenundersøgelse af kolon med enkeltkontrast kolonindhældning
UXRD32	Røntgenundersøgelse af kolon med dobbeltkontrastteknik
UXRD35	Pouchografi
UXRD37	Defækografi
UXRD40	Oversigtsoptagelse af galdeveje
UXRD45	Kolangiografi gennem dræn
UXRD47	Intravenøs kolangiografi
UXRD50	Peroral kolecystografi med indgift af kontraststof
UXRD55	PTC, perkutan-transhepatisk-kolangiografi
UXRD60	Oversigtsoptagelse af nyrer og urinveje
UXRD65	Intravenøs urografi, inkl. oversigtsbilleder
UXRD70	Antegrad og retrograd pyelografi
UXRD75	Cystografi
UXRD80	MCU, miktions-cysto-urethrografi
UXRD85	Urethrografi
UXRD90	HSG, hystero-salpingografi
UXRE	Røntgenundersøgelser af columna
UXRE10	Røntgenundersøgelse af columna cervicalis
UXRE15	Cervikal myelografi
UXRE20	Røntgenundersøgelse af columna thoracalis
UXRE25	Thorakal myelografi
UXRE30	Røntgenundersøgelse af columna lumbalis
UXRE35	Lumbal myelografi
UXRE45	Lumbal diskografi
UXRE50	Røntgenundersøgelse af os sacrum
UXRE60	Røntgenundersøgelse af sakroiliakaled
UXRE70	Skolioseoptagelse
UXRE80	Osteodensitometri, dual X-ray absorptiometri (DXA), columna lumbalis
UXRE82	Osteodensitometri, dual X-ray absorptiometri (DXA), lateral spine
UXRE85	Osteomorfometri, dual X-ray absorptiometri (DXA), columna
UXRF	Røntgenundersøgelser af overekstemitet
UXRF10	Røntgenundersøgelse af scapula
UXRF12	Røntgenundersøgelse af akromioclavicularled
UXRF15	Røntgenundersøgelse af skulder
UXRF20	Røntgenundersøgelse af overarm
UXRF25	Røntgenundersøgelse af albue
UXRF30	Røntgenundersøgelse af underarm
UXRF40	Røntgenundersøgelse af håndled
UXRF45	Røntgenundersøgelse af os scaphoideum
UXRF50	Røntgenundersøgelse af hånd og fingre
UXRF51	Røntgenundersøgelse af begge hænder
UXRF60	Røntgenundersøgelse på lang film af overekstremitet
UXRF80	Osteodensitometri, dual X-ray absorptiometri (DXA) af underarm
UXRF82	Osteodensitometri, single X-ray absorptiometri (SXA) af underarm
UXRF83	Osteodensitometri, dual X-ray absorptiometri (DXA) af hånd
UXRG	Røntgenundersøgelser af underekstremitet
UXRG10	Røntgenundersøgelse af bækken
UXRG15	Røntgenundersøgelse af hofte
UXRG20	Røntgenundersøgelse af femur
UXRG25	Røntgenundersøgelse af knæ
UXRG26	Røntgenundersøgelse af begge knæ
UXRG27	Tangential røntgenundersøgelse af patella
UXRG30	Røntgenundersøgelse af crus
UXRG40	Røntgenundersøgelse af fodled
UXRG41	Røntgenundersøgelse af begge fodled
UXRG45	Røntgenundersøgelse af calcaneus
UXRG47	Røntgenundersøgelse af mellemfod
UXRG50	Røntgenundersøgelse af fod og tæer
UXRG60	Røntgenundersøgelse på lang film af underekstremiteten
UXRG80	Osteodensitometri, dual X-ray absorptiometri (DXA) af collum femoris
UXRG81	Osteodensitometri, dual X-ray absorptiometri (DXA) af tibia
UXRG82	Osteodensitometri, single X-ray absorptiometri (SXA) af calcaneus
UXRG82A	Osteodensitometri, dual X-ray absorptiometri (DXA) af calcaneus
UXRP	Røntgenundersøgelser af vævsprøve
UXRP10	Røntgenundersøgelser af vævsprøve fra bryst
UXU	Ultralyds-undersøgelser
UXUA	Ultralyd-undersøgelser af hoved
UXUA00	UL-undersøgelse af cerebrum
UXUA20	UL-undersøgelse af orbita
UXUA25	UL-undersøgelse af bulbus oculi (B-skanning)
UXUA27	UL-vejledt måling af øjenakser (A-skanning)
UXUA30	Transkraniel Doppler af intracerebrale kar
UXUA32	Fontanelle-skanning
UXUA40	UL-undersøgelse af sinus maxillaris
UXUA45	Endoskopisk UL-undersøgelse af bihuler
UXUA65	UL-undersøgelse af kæbeled
UXUA75	UL-undersøgelse af spytkirtler
UXUA80	UL-undersøgelse af ansigtsbløddele
UXUA85	UL-undersøgelse af tunge og mundbund
UXUB	Ultralyd-undersøgelser af hals
UXUB00	UL-undersøgelse af hals
UXUB00A	UL-undersøgelse af lymfeknude på hals
UXUB00B	UL-undersøgelse af cyste på hals
UXUB10	UL-undersøgelse af glandula thyroidea og glandulae parathyroideae
UXUB10A	Ultralydundersøgelse, glandula thyroidea
UXUB10B	Ultralydsundersøgelse, parathyroidea
UXUB30	Kvantitativ UL / Doppler-undersøgelse af halsarterier
UXUB35	Kvantitativ UL / Doppler-undersøgelse af halsvener
UXUC	Ultralyd-undersøgelser af thorax
UXUC05	UL-undersøgelse af sternoclaviculærled
UXUC10	UL-undersøgelse af thoraxvæg og axil, inkl. periclaviculær
UXUC15	UL-undersøgelse af pleura og diafragma
UXUC40	UL-undersøgelse af mamma
UXUC46	UL-vejledt anlæggelse af coil i mamma
UXUC47	UL-vejledt nålemarkering i mamma
UXUC48	UL-vejledt tusch-markering på hud
UXUC49	UL-vejledt nålemarkering, andre
UXUC49A	UL-vejledt nålemarkering i hovedet
UXUC49B	UL-vejledt nålemarkering i hals
UXUC49C	UL-vejledt nålemarkering i overekstremitet
UXUC49C1	UL-vejledt nålemarkering i lymfeknude i aksil
UXUC49D	UL-vejledt nålemarkering i thorax
UXUC49E	UL-vejledt nålemarkering i abdomen
UXUC49F	UL-vejledt nålemarkering i underekstremitet
UXUC50	Endoskopisk UL-undersøgelse af øsofagus
UXUC60	UL-undersøgelse af lunge og mediastinum
UXUC62	Bronkoskopisk UL-undersøgelse
UXUC70	Epikardiel ultralydsdiagnostik
UXUC71	Perikardiel ultralydsdiagnostik
UXUC72	Intrapleural ultralydsdiagnostik
UXUC73	Transtorakal ultralydsdiagnostik, fokuseret
UXUC74	Transtorakoskopisk ultralydsdiagnostik
UXUC80	Transtorakal ekkokardiografi
UXUC80A	Transtorakal stress-ekkokardiografi
UXUC80B	Transtorakal ekkokardiografi med dobutamin test
UXUC80C	Transtorakal ekkokardiografi med kontrast
UXUC80D	Transtorakal 3-D ekkokardiografi
UXUC80E	Transtorakal ekkokardiografi med vævsdoppler
UXUC81	Transøsofageal ekkokardiografi
UXUC81C	Transøsofageal ekkokardiografi med kontrast
UXUC82	Intrakardiel ultralydsundersøgelse
UXUC85	Intrakoronar UL-undersøgelse
UXUC86	Intrakoronar flowmåling med Doppler
UXUC87	Intracoronar optisk kohærenstomografi (OCT) af kranspulsårer
UXUD	Ultralyd-undersøgelser af abdomen
UXUD10	UL-undersøgelse af øvre abdomen
UXUD11	Laparoskopisk UL-undersøgelse af øvre abdomen
UXUD12	UL-undersøgelse af tarm
UXUD15	UL-undersøgelse af nedre abdomen
UXUD16	Laparoskopisk UL-undersøgelse af nedre abdomen
UXUD20	UL-undersøgelse af retroperitoneum, inkl. aorta og binyrer
UXUD22	UL-undersøgelse af bugvæg
UXUD25	UL-undersøgelse af lyskeregion
UXUD30	Kvantitativ UL/Doppler af splanknikuskar
UXUD31	Endoskopisk UL-undersøgelse af ventrikel, duodenum og omgivelser
UXUD32	UL-undersøgelse af ventrikel, duodenum og omgivelser via stomi
UXUD33	Endoskopisk UL-undersøgelse af tyndtarm
UXUD34	UL-undersøgelse af tyndtarm via stomi
UXUD35	Endoskopisk UL-undersøgelse af tyktarm
UXUD36	UL-undersøgelse af tyktarm via stomi
UXUD38	Transrektal UL-undersøgelse af rektum og analkanal
UXUD39	Transvaginal UL-undersøgelse af tarm
UXUD40	Endoskopisk UL-undersøgelse af galdeveje
UXUD41	Endoskopisk UL-undersøgelse af pancreas
UXUD45	Perkutan UL-vejledt pancreastrykmåling
UXUD50	Endoskopisk UL-undersøgelse af lever
UXUD52	Kvantitativ UL/Doppler af leverens kar
UXUD60	Kvantitativ Doppler-undersøgelse af flow i nyrekar
UXUD61	UL-undersøgelse af nyrer
UXUD70	UL-undersøgelse af lever
UXUD70A	Elastiometrisk måling af lever
UXUD75	UL-undersøgelse af urinblæren
UXUD80	UL-undersøgelse af genitalia feminina
UXUD82	Transvaginal UL-undersøgelse af genitalia feminina
UXUD82A	Transvaginal UL-undersøgelse af uterus med kontrast
UXUD82B	Transvaginal UL-undersøgelse af salpinges og uterus med kontrast
UXUD83	UL-undersøgelse under fødsel
UXUD83A	Vurdering af fosterhovedets rotation ved UL under fødsel
UXUD83B	Vurdering af fosterhovedets stilling ved UL under fødsel
UXUD84	UL-undersøgelse af follikler
UXUD85	UL-undersøgelse af cervix
UXUD86	UL/Doppler af foster og placenta
UXUD86A	Terminsskanning
UXUD86B	Sen gennemskanning (18-22 uger)
UXUD86BE	Misdannelsesdiagnostik, ekspertskanning
UXUD86C	Fosterekkokardiografi
UXUD86D	Diagnostisk obstetrisk UL-skanning på speciel indikation
UXUD86DA	Op-ned skanning
UXUD86DB	UL-skanning for placentalokalisation
UXUD86DC	Vægtskanning
UXUD86DD	Vurdering af fostervandsmængde ved UL
UXUD86DE	UL-choriocitetsbestemmelse
UXUD86E	Fosterekkokardiografi - tvillingeundersøgelse
UXUD86F	Føtal neurosonografisk undersøgelse
UXUD86N	Nakkefoldsskanning med risikoberegning
UXUD86X	Tidlig obstetrisk abdominal gennemskanning (ekspert)
UXUD87	Transvaginal UL-undersøgelse af foster og placenta
UXUD87A	Transvaginal obstetrisk ultralydsskanning
UXUD88	UL/Doppler af navlesnorsflow/føto-maternelt kredsløb
UXUD88A	Flowmåling i arteria umbilicalis
UXUD88B	Flowmåling i vena umbilicalis
UXUD88C	Flowmåling i arteria cerebri media
UXUD88D	Flowmåling i ductus venosus
UXUD88E	Flowmåling over hjerteklapper
UXUD88F	Flowmåling i arteria uterina
UXUD88G	Flowmåling i anastomoser i placenta
UXUD88H	Flowmåling i andre kar
UXUD90	UL-undersøgelse af penis
UXUD92	UL-undersøgelse af prostata, inkl. transrektal skanning
UXUD95	UL-undersøgelse af scrotum
UXUE	Ultralyd-undersøgelser af columna
UXUE10	UL-undersøgelse af columna cervicalis
UXUE20	UL-undersøgelse af columna thoracalis
UXUE30	UL-undersøgelse af columna lumbalis
UXUF	Ultralyd-undersøgelser af overekstremitet
UXUF00	UL-undersøgelse af overekstremitet
UXUF00A	UL-undersøgelse af perifer nerve på overekstremitet
UXUF01	UL-undersøgelse af overarm
UXUF02	UL-undersøgelse af underarm
UXUF05	Kvantitativ UL/Doppler af kar på overekstremitet
UXUF05A	Kvantitativ UL/Doppler af arterier på overekstremitet
UXUF05B	Kvantitativ UL/Doppler af vener på overekstremitet
UXUF15	UL-undersøgelse af skulder
UXUF16	UL-vejledt indsættelse af coil i lymfeknude i aksil
UXUF25	UL-undersøgelse af albue
UXUF40	UL-undersøgelse af håndled
UXUF50	UL-undersøgelse af hånd
UXUG	Ultralyd-undersøgelser af underekstremitet
UXUG00	UL-undersøgelse af underekstremitet
UXUG00A	UL-undersøgelse af perifer nerve på underekstremitet
UXUG01	UL-undersøgelse af lår
UXUG02	UL-undersøgelse af underben
UXUG05	Kvantitativ UL/Doppler af kar på underekstremitet
UXUG05A	Kvantitativ UL/Doppler af arterier på underekstremitet
UXUG05B	Kvantitativ UL/Doppler af vener på underekstremitet
UXUG15	UL-undersøgelse af hofte
UXUG15A	UL-undersøgelse af glutealregion
UXUG16	UL-undersøgelse af det ossøse bækken
UXUG25	UL-undersøgelse af knæ
UXUG40	UL-undersøgelse af fodled
UXUG50	UL-undersøgelse af fod
UXUG80	UL-vejledt osteodensitometri af calcaneus
UXUH	Ultralydsundersøgelse af hud og tilgrænsende struktur
UXUH00	Ultralydsundersøgelse af hud
UXUP	UL-undersøgelse af vævsprøve
UXUP10	UL-undersøgelse af vævsprøve fra bryst
UZCGG	EMG vejledt procedure
UXZ	Tillægskoder til radiologiske procedurer
UXZ1	anvendelse af kontrast
UXZ10	med intravenøs kontrast
UXZ10A	med intravenøs kontrast samt peroral kontrast
UXZ11	uden intravenøs kontrast
UXZ12	både med og uden intravenøs kontrast
UXZ12A	både med og uden intravenøs kontrast samt peroral kontrast
UXZ13	med intratekal kontrast
UXZ14	med peroral kontrast
UXZ15	med endoluminal kontrast
UXZ16	med fistulografi
UXZ17	med artrografi
UXZ2	Teknikker
UXZ20	med bearbejdning af billeder på arbejdsstation
UXZ21	med udmåling på billeder
UXZ3	specifikation til røntgenprocedurer
UXZ30	røntgenvejledt procedure
UXZ30A	gennemlysning i forbindelse med anden procedure
UXZ31	med bløddelsoptagelse
UXZ32	med tomografi
UXZ33	med stereofotogrammetri
UXZ34	supplerende specialoptagelser udover to projektioner
UXZ4	specifikation til CT-procedurer
UXZ40	CT-vejledt procedure
UXZ41	med CT-angiografi
UXZ42	med spiralteknik
UXZ43	med CT-perfusionsmåling
UXZ44	med CT-elastografi
UXZ45	med 3D rekonstruktion
UXZ5	Specifikation til MR-procedurer
UXZ50	MR-vejledt procedure
UXZ51	med MR-arteriografi
UXZ52	med MR-venografi
UXZ53	med MR-diffusionsmåling
UXZ54	med MR-flowmåling
UXZ55	med MR-perfusionsmåling
UXZ56	med MR-spektroskopi
UXZ57	med MR-relaxometri
UXZ58	med MR-elastografi (MRE)
UXZ59	Andre specifikationer til MR-procedurer
UXZ59A	stående MR-skanning
UXZ6	Specifikation til angiografiske procedurer
UXZ60	angiografisk vejledt procedure
UXZ61	med blood-sampling
UXZ62	med direkte punktur
UXZ63	med selektiv kateterisering
UXZ64	med trykmåling
UXZ65	med CO2-kontrast
UXZ66	med rotationsangiografi
UXZ7	specifikation til ultralydsprocedurer
UXZ70	ultralyd/Doppler-vejledt procedure
UXZ71	med endoluminal ultralyd
UXZ72	med kvantitativ Dopplerundersøgelse
UXZ77	med UL-elastografi
UXZ78	med billedfusion
UXZ9	generel specifikation til radiologiske procedurer
UXZ90	med funktionsundersøgelse
UXZ91	med terapiplanlægning
UXZ95	med gentagelse af billedoptagelse
