Kode	Tekst
KAAF45B	Endoskopisk drænage af intrakraniel cyste gennem kraniostomi
KAAF99	Anden shuntoperation på hjerneventrikel eller intrakraniel cyste
KAAG	Stereotaktiske eller billedvejledte intrakranielle operationer
KAAG00	Stereotaktisk eller billedvejledt intrakraniel biopsi
KAAG10	Stereotaktisk eller billedvejledt intrakraniel destruktion af nucleus eller nervebane
KAAG20	Stereotaktisk eller billedvejledt intrakraniel indlæggelse af elektrode
KAAG20A	Stereotaktisk eller billedvejledt indlæggelse af thalamuselektrode
KAAG20B	Revision af thalamuselektrode
KAAG30	Stereotaktisk eller billedvejledt intrakraniel indlæggelse af strålekilde
KAAG40	Stereotaktisk eller billedvejledt intrakraniel indlæggelse af føtalt væv
KAAG99	Anden stereotaktisk eller billedvejledt intrakraniel operation
KAAH	Operationer på kranienerver
KAAH10	Overskæring af kranienerverod
KAAH20	Dekompression af kranienerve
KAAH30	Termodestruktion af kranienerve
KAAH40	Injektion i kranienerve
KAAH50	Kranienerveanastomose
KAAH60	Mikrovaskulær dekompression af kranienerve
KAAH99	Anden operation på kranienerve
KAAJ	Operationer ved epilepsi
KAAJ00	Hemisfærektomi
KAAJ10	Lobektomi ved epilepsi
KAAJ15	Hippocampektomi
KAAJ20	Excision af epileptisk fokus
KAAJ25	Transcision af nervebaner ved epilepsi
KAAJ30	Kallosotomi ved epilepsi
KAAJ35	Hemidekortikation ved epilepsi
KAAJ99	Anden operation ved epilepsi
KAAK	Operationer på kranie og dura
KAAK00	Kranioplastik
KAAK10	Duraplastik
KAAK20	Operationer ved kraniosynostose
KAAK30	Kraniofascial rekonstruktion ved medfødte misdannelser
KAAK35	Rekonstruktion af kranie efter kranietraume
KAAK40	Lukning af likvorfistel
KAAK40A	Endoskopisk lukning af durafistel
KAAK70	Knoglebiopsi af kranie
KAAK75	Excision af patologisk væv i kranie
KAAK80	Dekompressiv kranieektomi ved hjerneødem
KAAK85	Reimplantation af kranieplade efter kranieektomi
KAAK99	Anden operation på kranie eller dura
KAAL	Endovaskulære intrakranielle operationer
KAAL00	Endovaskulær okklusion af intrakranielt aneurisme
KAAL10	Intrakraniel endovaskulær trombolyse
KAAL11	Intrakraniel intraarteriel trombektomi
KAAL20	Endovaskulær okklusion af intrakraniel arteriovenøs misdannelse
KAAL30	Endovaskulær okklusion af intrakraniel fistel
KAAL40	Endovaskulær okklusion af arterier til intrakraniel tumor
KAAL99	Anden endovaskulær intrakraniel operation
KAAL99A	Endovaskulær blodprøvetagning fra intrakranielle vener/sinus
KAAM	Operationer ved intrakranielle infektioner
KAAM00	Punktur og udtømning af intracerebral absces
KAAM10	Excision af intracerebral absces
KAAM30	Fjernelse af epiduralt eller subduralt empyem
KAAM99	Anden operation for intrakraniel infektion
KAAN	Operationer for intrakranielle medfødte misdannelser
KAAN00	Excision og plastik af encefalocele
KAAN99	Anden operation for intrakraniel medfødt misdannelse
KAAU	Fjernelse af implantater eller eksterne fiksationer fra kraniet
KAAU00	Fjernelse af implantat eller ekstern fiksation fra kraniet
KAAW	Andre operationer på kraniet eller intrakranielle strukturer
KAAW01	Indlæggelse af intrakranielt stimulationssystem
KAAW02	Indlæggelse af intrakranielt injektionssystem
KAAW99	Anden operation på intrakraniel struktur
KAB	Operationer på rygmarv og nerverødder
KABA	Diagnostiske operationer på rygmarv og nerverødder
KABA00	Eksplorativ laminektomi
KABA10	Biopsi af patologisk væv i spinalkanalen
KABA99	Anden diagnostisk operation på rygmarv eller nerverødder
KABB	Operationer på patologisk væv i rygmarv og nerverødder
KABB00	Excision af patologisk væv i spinalkanal
KABB10	Resektion af patologisk væv i spinalkanal
KABB20	Drænage af intramedullær eller ekstramedullær cyste i spinalkanal
KABB30	Destruktion af patologisk væv i spinalkanal
KABB40	Fjernelse af spontant hæmatom i spinalkanal
KABB99	Anden operation på patologisk væv i spinalkanalen
KABC	Dekompressioner af rygmarv og nerverødder
KABC01	Perkutan endoskopisk fjernelse af cervikal diskusprolaps
KABC04	Perkutan endoskopisk fjernelse af torakal diskusprolaps
KABC07	Perkutan endoskopisk fjernelse af lumbal diskusprolaps
KABC10	Mikrokirurgisk fjernelse af cervikal diskusprolaps
KABC13	Mikrokirurgisk fjernelse af torakal diskusprolaps
KABC16	Mikrokirurgisk fjernelse af lumbal diskusprolaps
KABC20	Åben operation for cervikal diskusprolaps
KABC21	Forreste dekompression af columna cervicalis med indsættelse af intervertebralt fiksationsimplantat
KABC23	Åben operation for torakal diskusprolaps
KABC26	Åben operation for lumbal diskusprolaps
KABC28	Indsættelse af ekspansionsimplantat mellem processus spinosi
KABC30	Dekompression af cervikal nerverod
KABC33	Dekompression af torakal nerverod
KABC36	Dekompression af lumbal nerverod
KABC40	Dekompression af cauda equina
KABC50	Dekompression af cervikal spinalkanal og nerverod
KABC53	Dekompression af torakal spinalkanal og nerverod
KABC56	Dekompression af lumbal spinalkanal og nerverod
KABC60	Dekompression af den cervikale rygmarv
KABC63	Dekompression af den torakale rygmarv
KABC66	Dekompression af lumbale rygmarv
KABC99	Anden dekompressionsoperation på rygmarv eller nerverod
KABD	Operationer på rygmarv og nerverødder ved smerte eller funktionsforstyrrelse
KABD10	Kordotomi
KABD20	Myelotomi
KABD30	Indlæggelse af spinalt stimulationssystem
KABD40	Indlæggelse af spinalt injektionssystem
KABD50	Overskæring af spinal nerverod ved smerte eller funktionsforstyrrelse
KABD60	Indlæggelse af stimulationssystem på nerverod
KABD60A	Indlæggelse af stimulationssystem på sakralrod, 1-trinsproces
KABD60B	Indlæggelse af permanent elektrode på sakralrod, 1. af 2 trin
KABD60C	Indlæggelse af impulsgenerator til stimulationssystem i nervesystem, 2. af 2 trin
KABD60D	Indlæggelse af midlertidig stimulationselektrode på sakralrod
KABD99	Anden operation på rygmarv og nerverødder for smerte eller funktionsforstyrrelse
KABE	Operationer ved medfødt spinal misdannelse
KABE10	Excision og plastik af myelomeningocele
KABE20	Mobilisation af fastsiddende rygmarv eller diastematomyeli
KABE30	Excision af dermal sinus
KABE40	Operation for hydromyeli
KABE50	Occipitocervikal dekompression
KABE99	Anden operation for medfødt spinal misdannelse
KABW	Andre operationer på rygmarv og nerverødder
KABW99	Anden operation på rygmarv og nerverødder
KAC	Operationer på perifere nerver
KACA	Diagnostiske operationer på perifere nerver
KACA1	Eksploration af perifer nerve
KACA11	Eksploration af nervus medianus
KACA12	Eksploration af nervus radialis
KACA13	Eksploration af nervus ulnaris
KACA14	Eksploration af nervus peronæus
KACA15	Eksploration af nervus tibialis
KACA16	Eksploration af nervus ischiadicus
KACA17	Eksploration af plexus lumbalis
KACA18	Eksploration af plexus brachialis
KACA19	Eksploration af perifer nerve uden specifikation
KACA2	Biopsi af perifer nerve
KACA21	Biopsi af nervus medianus
KACA22	Biopsi af nervus radialis
KACA23	Biopsi af nervus ulnaris
KACA24	Biopsi af nervus peronaeus
KACA25	Biopsi af nervus tibialis
KACA26	Biopsi af nervus ischiadicus
KACA27	Biopsi af plexus lumbalis
KACA28	Biopsi af plexus brachialis
KACA29	Biopsi af anden perifer nerve
KACA9	Anden diagnostisk operation på perifer nerve
KACA91	Anden diagnostisk operation på nervus medianus
KACA92	Anden diagnostisk operation på nervus radialis
KACA93	Anden diagnostisk operation på nervus ulnaris
KACA94	Anden diagnostisk operation på nervus peronæus
KACA95	Anden diagnostisk operation på nervus tibialis
KACA96	Anden diagnostisk operation på nervus ischiadicus
KACA97	Anden diagnostisk operation på plexus lumbalis
KACA98	Anden diagnostisk operation på plexus brachialis
KACA99	Anden diagnostisk operation på anden perifer nerve
KACB	Operationer for patologisk væv og læsion på perifer nerve
KACB1	Excision af patologisk væv på perifer nerve
KACB11	Ekscision af patologisk væv på nervus medianus
KACB12	Ekscision af patologisk væv på nervus radialis
KACB13	Ekscision af patologisk væv på nervus ulnaris
KACB14	Ekscision af patologisk væv på nervus peronæus
KACB15	Ekscision af patologisk væv på nervus tibilais
KACB16	Ekscision af patologisk væv på nervus ischiadicus
KACB17	Ekscision af patologisk væv på plexus lumbalis
KACB18	Ekscision af patologisk væv på plexus brachialis
KACB19	Ekscision af patologisk væv på anden perifer nerve
KACB2	Sutur af perifer nerve
KACB21	Sutur af nervus medianus
KACB22	Sutur af nervus radialis
KACB23	Sutur af nervus ulnaris
KACB24	Sutur af nervus peronæus
KACB25	Sutur af nervus tibialis
KACB26	Sutur af nervus ischiadicus
KACB27	Sutur af plexus lumbalis
KACB28	Sutur af plexus brachialis
KACB29	Sutur af anden perifer nerve
KACB29A	Sutur af nervus mandibularis
KACB29B	Sutur af nervus lingualis
KACB9	Anden operation for patologisk væv på perifer nerve
KACB91	Anden operation for patologisk væv på nervus medianus
KACB92	Anden operation for patologisk væv på nervus radialis
KACB93	Anden operation for patologisk væv på nervus ulnaris
KACB94	Anden operation for patologisk væv på nervus peronæus
KACB95	Anden operation for patologisk væv på nervus tibialis
KACB96	Anden operation for patologisk væv på nervus ischiadicus
KACB97	Anden operation for patologisk væv på plexus lumbalis
KACB98	Anden operation for patologisk væv på plexus brachialis
KACB99	Anden operation for patologisk væv på perifer nerve uden specifikation
KACC	Operationer på perifere nerver ved funktionsforstyrrelse
KACC1	Overskæring af perifer nerve
KACC11	Overskæring af nervus medianus
KACC12	Overskæring af nervus radialis
KACC13	Overskæring af nervus ulnaris
KACC14	Overskæring af nervus peronæus
KACC15	Overskæring af nervus tibialis
KACC16	Overskæring af nervus ischiadicus
KACC17	Overskæring af plexus lumbalis
KACC18	Overskæring af plexus brachialis
KACC19	Overskæring af anden perifer nerve
KACC19A	Laparoskopisk retroperitoneal triple neurektomi (nervus ilioinguinalis, nervus iliohypogastricus, nervus genitofemoralis)
KACC2	Rekonstruktion af perifer nerve
KACC21	Rekonstruktion af nervus medianus
KACC22	Rekonstruktion af nervus radialis
KACC23	Rekonstruktion af nervus ulnaris
KACC24	Rekonstruktion af nervus peronæus
KACC25	Rekonstruktion af nervus tibialis
KACC26	Rekonstruktion af nervus ischiadicus
KACC27	Rekonstruktion af plexus lumbalis
KACC28	Rekonstruktion af plexus brachialis
KACC29	Rekonstruktion af anden perifer nerve
KACC29A	Rekonstruktion af nervus mandibularis
KACC29B	Rekonstruktion af nervus lingualis
KACC4	Transposition af perifer nerve
KACC41	Transposition af nervus medianus
KACC42	Transposition af nervus radialis
KACC43	Transposition af nervus ulnaris
KACC44	Transposition af nervus peronæus
KACC45	Transposition af nervus tibialis
KACC46	Transposition af nervus ischiadicus
KACC47	Transposition af plexus lumbalis
KACC48	Transposition af plexus brachialis
KACC49	Transposition af anden perifer nerve
KACC49A	Transposition af nervus mandibularis
KACC5	Dekompression og løsning af perifer nerve
KACC51	Dekompression og løsning af nervus medianus
KACC52	Dekompression og løsning af nervus radialis
KACC53	Dekompression og løsning af nervus ulnaris
KACC54	Dekompression og løsning af nervus peronæus
KACC55	Dekompression og løsning af nervus tibialis
KACC56	Dekompression og løsning af nervus ischiadicus
KACC57	Dekompression og løsning af plexus lumbalis
KACC58	Dekompression og løsning af plexus brachialis
KACC59	Dekompression og løsning af anden perifer nerve
KACC59B	Dekompression af nervus infraorbitalis
KACC59C	Dekompression af nervus mandibularis
KACC6	Endoskopisk dekompression og løsning af perifer nerve
KACC61	Endoskopisk dekompression og løsning af nervus medianus
KACC62	Endoskopisk dekompression og løsning af nervus radialis
KACC63	Endoskopisk dekompression og løsning af nervus ulnaris
KACC64	Endoskopisk dekompression og løsning af nervus peronæus
KACC65	Endoskopisk dekompression og løsning af nervus tibialis
KACC66	Endoskopisk dekompression og løsning af nervus ischiadicus
KACC67	Endoskopisk dekompression og løsning af plexus lumbalis
KACC68	Endoskopisk dekompression og løsning af plexus brachialis
KACC69	Endoskopisk dekompression og løsning af anden perifer nerve
KACC9	Anden operation på perifer nerve ved funktionsforstyrrelse
KACC91	Anden operation på nervus medianus pga. funktionsforstyrrelse
KACC92	Anden operation på nervus radialis pga. funktionsforstyrrelse
KACC93	Anden operation på nervus ulnaris pga. funktionsforstyrrelse
KACC94	Anden operation på nervus peronæus pga. funktionsforstyrrelse
KACC95	Anden operation på nervus tibialis pga. funktionsforstyrrelse
KACC96	Anden operation på nervus ischiadicus pga. funktionsforstyrrelse
KACC97	Anden operation på plexus lumbalis pga. funktionsforstyrrelse
KACC98	Anden operation på plexus brachialis pga. funktionsforstyrrelse
KACC99	Anden operation på anden perifer nerve pga. funktionsforstyrrelse
KACC99A	Indlæggelse af subkutant perifer nervestimulatorsystem
KACW	Andre operationer på perifere nerver
KACW99	Anden operation på perifer nerve
KAD	Operationer på det autonome nervesystem
KADA	Operationer på det sympatiske nervesystem
KADA10	Cervikal sympatektomi
KADA11	Endoskopisk perkutan cervikal sympatektomi
KADA20	Torakal sympatektomi
KADA21	Perkutan endoskopisk torakal sympatektomi
KADA30	Lumbal sympatektomi
KADA99	Anden operation på det sympatiske nervesystem
KADB	Operationer på nervus vagus
KADB00	Indlæggelse af stimulationssystem på nervus vagus
KADW	Andre operationer på det autonome nervesystem
KADW99	Anden operation på det autonome nervesystem
KAE	Andre operationer på nervesystemet
KAEA	Operationer på stimulations- og injektionssystemer i nervesystemet
KAEA00	Udskiftning af impulsgenerator til stimulationssystem i nervesystemet
KAEA01	Udskiftning af elektrode til stimulationssystem i nervesystemet
KAEA20	Fjernelse af impulsgenerator til stimulationssystem i nervesystemet
KAEA23	Fjernelse af intrakraniel elektrode
KAEA24	Fjernelse af spinal stimulationselektrode
KAEA25	Fjernelse af stimulationselektrode på nervus vagus
KAEA26	Fjernelse af stimulationselektrode på nerverod
KAEA30	Udskiftning af pumpe på injektionssystem i nervesystemet
KAEA40	Fjernelse af pumpe på injektionssystem i nervesystemet
KAEA43	Fjernelse af kateter til intrakranielt injektionssystem
KAEA44	Fjernelse af kateter til spinalt injektionssystem
KAEA45	Udskiftning af kateter til injektionssystem i nervesystemet
KAW	Reoperationer efter operation på nervesystemet
KAWA	Reoperationer ved sårruptur efter operation på nervesystemet
KAWA00	Sutur af sårruptur efter operation på nervesystemet
KAWA00A	Sutur af sårruptur efter operation for diskusprolaps
KAWB	Reoperationer ved overfladisk infektion efter operation på nervesystemet
KAWB00	Reoperation ved overfladisk infektion efter operation på nervesystemet
KAWB00A	Reoperation ved overfladisk infektion efter operation for diskusprolaps
KAWC	Reoperationer ved dyb infektion efter operation på nervesystemet
KAWC00	Reoperation ved dyb infektion efter operation på nervesystemet
KAWC00A	Reoperation ved dyb infektion efter operation for diskusprolaps
KAWD	Reoperationer ved overfladisk blødning efter operation på nervesystemet
KAWD00	Reoperation for overfladisk blødning efter operation på nervesystemet
KAWD00A	Reoperation for overfladisk blødning efter operation for diskusprolaps
KAWE	Reoperationer ved dyb blødning efter operation på nervesystemet
KAWE00	Reoperation for dyb blødning efter operation på nervesystemet
KAWE00A	Reoperation for dyb blødning efter operation for diskusprolaps
KAWW	Andre reoperationer efter operation på nervesystemet
KAWW99	Anden reoperation efter operation på nervesystemet
KAWW99A	Anden reoperation efter operation for diskusprolaps
KB	Operationer på endokrine organer
KBA	Operationer på skjoldbruskkirtlen
KBAA	Operationer på skjoldbruskkirtel
KBAA00	Biopsi af skjoldbruskkirtel
KBAA05	Eksploration af skjoldbruskkirtel
KBAA10	Incision af skjoldbruskkirtel
KBAA20	Enkeltsidig resektion af skjoldbruskkirtel
KBAA20A	Enkeltsidig resektion af intratorakal skjoldbruskkirtel
KBAA21	Laserkoagulation i skjoldbruskkirtel
KBAA25	Dobbeltsidig resektion af skjoldbruskkirtel
KBAA25A	Dobbeltsidig resektion af intratorakal skjoldbruskkirtel
KBAA30	Resektion af isthmus i skjoldbruskkirtel
KBAA40	Enkeltsidig lobektomi af skjoldbruskkirtel
KBAA40A	Enkeltsidig lobektomi af intratorakal skjoldbruskkirtel
KBAA50	Lobektomi og resektion af kontralaterale lap af skjoldbruskkirtel
KBAA50A	Lobektomi og resektion af kontralaterale lap af intratorakal skjoldbruskkirtel
KBAA60	Total thyroidektomi
KBAA60A	Total thyroidektomi ved intratorakal skjoldbruskkirtel
KBAA99	Anden operation på skjoldbruskkirtel
KBB	Operationer på biskjoldbruskkirtler
KBBA	Operationer på biskjoldbruskkirtel
KBBA10	Biopsi af biskjoldbruskkirtel
KBBA20	Eksploration af biskjoldbruskkirtel
KBBA30	Resektion af biskjoldbruskkirtel
KBBA30A	Fjernelse af adenom i biskjoldbruskkirtel
KBBA40	Subtotal parathyroidektomi
KBBA42	Endoskopisk subtotal parathyroidektomi
KBBA50	Total parathyroidektomi
KBBA70	Implantation eller transplantation af biskjoldbruskkirtel
KBBA99	Anden operation på biskjoldbruskkirtel
KBC	Operationer på binyrer
KBCA	Operationer på binyre
KBCA10	Biopsi af binyre
KBCA11	Endoskopisk biopsi af binyre
KBCA15	Incision af binyre
KBCA20	Excision af patologisk væv i binyre
KBCA30	Enkeltsidig adrenalektomi
KBCA31	Endoskopisk enkeltsidig adrenalektomi
KBCA31A	Enkeltsidig perkutan endoskopisk partiel adrenalektomi
KBCA40	Dobbeltsidig adrenalektomi
KBCA41	Endoskopisk dobbeltsidig adrenalektomi
KBCA99	Anden operation på binyre
KBD	Operationer på glomus caroticum
KBDA	Operationer på glomus caroticum
KBDA10	Operation på glomus caroticum
KBW	Reoperationer efter operation på endokrint organ
KBWA	Reoperationer ved sårruptur efter operation på endokrint organ
KBWA00	Sutur af sårruptur efter operation på endokrint organ
KBWB	Reoperationer ved overfladisk infektion efter operation på endokrint organ
KBWB00	Reoperation ved overfladisk infektion efter operation på endokrint organ
KBWC	Reoperationer ved dyb infektion efter operation på endokrint organ
KBWC00	Reoperation ved dyb infektion efter operation på endokrint organ
KBWD	Reoperationer ved overfladisk blødning efter operation på endokrint organ
KBWD00	Reoperation for overfladisk blødning efter operation på endokrint organ
KBWE	Reoperationer ved dyb blødning efter operation på endokrint organ
KBWE00	Reoperation for dyb blødning efter operation på endokrint organ
KBWW	Andre reoperationer efter operation på endokrint organ
KBWW99	Anden reoperation efter operation på endokrint organ
KC	Operationer på øje og øjenomgivelser
KCA	Operationer på øjenhule
KCAA	Incisioner, punkturer og biopsier i øjenhule
KCAA00	Punktur af absces i øjenhule
KCAA10	Eksplorativ forreste orbitotomi
KCAA20	Eksplorativ lateral orbitotomi
KCAA30	Biopsi af øjenhule
KCAB	Excision af patologisk væv i øjenhule
KCAB00	Excision af patologisk væv i øjenhule gennem forreste orbitotomi
KCAB10	Excision af patologisk væv i øjenhule gennem lateral orbitotomi
KCAB40	Excision af patologisk væv i øjenhule gennem transkraniel orbitotomi
KCAB50	Orbitotomi med fjernelse af fremmedlegeme
KCAC	Operationer på øjenhulens knogler
KCAC00	Rekonstruktion af øjenhulens væg
KCAC00A	Rekonstruktion af øjenhulens bund
KCAC10	Rekonstruktion af øjenhulens væg med knogletransplantat eller skinne
KCAC20	Lateral dekompression af øjenhule
KCAC30	Dekompression af øjenhule til bihule
KCAC40	Transkraniel dekompression af øjenhulens loft eller canalis opticus
KCAC42	Dekompression af øjenhule gennem koronal adgang
KCAC44	Kombineret dekompression af øjenhule
KCAC50	Korrektion af medfødt deformitet af øjenhulens knogler
KCAD	Udtømning af øjenhulens indhold
KCAD00	Udtømning af øjenhulens indhold og dækning med hudtransplantat
KCAE	Operationer ved anoftalmi efter enukleation eller evisceration af øje
KCAE00	Fjernelse af implantat i øjenhule
KCAE10	Revision og sekundær indsættelse af implantat i øjenhule
KCAE20	Revision af konjunktivalhule med transplantat
KCAW	Andre operationer på øjenhule
KCAW99	Anden operation på øjenhule
KCB	Operationer på øjenlåg
KCBA	Incisioner og biopsier af øjenlåg
KCBA00	Incision af øjenlåg
KCBA10	Biopsi af øjenlåg
KCBB	Fjernelser og destruktion af patologisk væv i øjenlåg
KCBB00	Excision af chalazion
KCBB10	Excision af slap hud på øjenlåg
KCBB15	Operation af fedthernie i øjenlåg
KCBB20	Korrektion af løs hud og resektion af fedthernie i øjenlåg
KCBB30	Excision af patologisk væv på øjenlåg
KCBB35	Kryoterapi af patologisk væv i øjenlåg
KCBB40	Elektrokoagulation af patologisk væv i øjenlåg
KCBB50	Excision af patologisk væv i øjenlåg og rekonstruktion med transplantat
KCBB99	Anden excision af patologisk væv i øjenlåg
KCBC	Operationer efter læsion af øjenlåg
KCBC00	Sutur af øjenlåg
KCBC10	Fjernelse af fremmedlegeme fra øjenlåg
KCBC99	Anden operation efter læsion af øjenlåg
KCBD	Rekonstruktioner af øjenlåg
KCBD00	Rekonstruktion af øjenlåg med sutur
KCBD10	Rekonstruktion af øjenlåg med transplantat
KCBD99	Anden rekonstruktion af øjenlåg
KCBE	Operationer for entropion
KCBE00	Sutur af øjenlåg ved entropion
KCBE10	Transposition og stramning af musculus orbicularis oculi ved entropion
KCBE20	Forkortning af øjenlågsretraktorer ved entropion
KCBE30	Horisontal forkortning ved entropion
KCBE40	Kombineret korrektion ved entropion
KCBE99	Anden operation ved entropion
KCBF	Operationer for ectropion
KCBF00	Elektrokauterisation ved ectropion
KCBF10	Forkortning af øjenlågsligamenter ved ectropion
KCBF20	Excision af øjenlågsbrusk ved ectropion
KCBF30	Excision af øjenlågsbrusk og hud ved ectropion
KCBF40	Rekonstruktion af øjenlåg ved cikatriciel ectropion
KCBF99	Anden operation ved ectropion
KCBG	Operationer for trichiasis
KCBG00	Elektrolyseepilation af cilier
KCBG10	Kryobehandling for trichiasis
KCBG20	Rekonstruktion af øjenlågskanten ved trichiasis
KCBG99	Anden operation ved trichiasis
KCBH	Operationer på canthus
KCBH00	Kantotomi
KCBH05	Kantopeksi
KCBH10	Rekonstruktion af canthus
KCBH20	Central sammensyning af øjenlåg
KCBH30	Lateral eller medial sammensyning af øjenlåg
KCBH40	Spaltning af øjenlågssammensyning
KCBH50	Rekonstruktion for epikantus
KCBH99	Anden operation på canthus
KCBJ	Operationer for ptose
KCBJ00	Sutur ved ptose
KCBJ10	Ptoseoperation med fascieslynge
KCBJ20	Tarsomyektomi
KCBJ30	Rekonstruktion af øjenlågets levatoraponeurose
KCBJ40	Resektion af øjenlågets levatormuskel
KCBJ50	Operation for øjenbrynsptose
KCBJ99	Anden operation ved ptose
KCBK	Operationer for øjenlågsretraktion
KCBK00	Myotomi ved øjenlågsretraktion
KCBK10	Operation for lagoftali
KCBK99	Anden operation ved øjenlågsretraktion
KCBL	Operationer ved blefarospasme
KCBL00	Myektomi eller neurotomi ved blefarospasme
KCBL99	Anden operation ved blefarospasme
KCBW	Andre operationer på øjenlåg
KCBW99	Anden operation på øjenlåg
KCC	Operationer på tåreapparat
KCCA	Incisioner og biopsier af tårekirtel
KCCA00	Incision af tårekirtel
KCCA10	Biopsi af tårekirtel
KCCA20	Incision af tårekanal
KCCA30	Incision af tåresæk
KCCA40	Biopsi af tårekanal
KCCB	Andre operationer på tårekirtel
KCCB00	Resektion af tårekirtel
KCCB10	Excision af tårekirtel
KCCB99	Anden operation på tårekirtel
KCCC	Andre operationer på tåreveje
KCCC00	Lukning af tårekanal
KCCC40	Intubation af tårekanal
KCCC50	Excision af tåresæk
KCCC99	Anden operation på tåreveje
KCCD	Rekonstruktioner på tåreapparat
KCCD00	Lukning af tårefistel
KCCD10	Sutur af tårekanal
KCCD20	Sutur af tårekanal med intubation
KCCD30	Rekonstruktion af tårekanal
KCCD40	Perkutan dakryocystorinostomi
KCCD50	Dakryocystorinostomi med intubation
KCCD60	Transnasal dakryocystorinostomi
KCCD70	Konjunktivocystorinostomi med intubation
KCCD99	Anden rekonstruktion på tåreapparat
KCCW	Andre operationer på tåreapparat
KCCW99	Anden operation på tåreapparat
KCD	Operationer på øjeæble
KCDB	Fjernelser af intrabulbært fremmedlegeme
KCDB00	Fjernelse af intrabulbært fremmedlegeme
KCDB10	Fjernelse af intrabulbært fremmedlegeme med magnet
KCDB99	Anden operation for intrabulbært fremmedlegeme
KCDC	Enukleation og eksenteration af øjet
KCDC00	Enukleation af øjet
KCDC10	Enukleation af øjet med implantation af protese
KCDC20	Enukleation af øjet med transplantation af væv
KCDC30	Eksenteration af øjet
KCDC40	Eksenteration af øjet med implantation af protese
