Copyright, Sundhedsdatastyrelsen
SKS-databasen opdateres jævnligt.
Dette udtræk modsvarer opdateringen d 01/10-2018 10:35:23.

Kode	Tekst
MA02BD08	bismuth subcitrat, tetracyclin og metronidazol
MA02BD09	lansoprazol, clarithromycin og tinidazol
MA02BD10	lansoprazol, amoxicillin og levofloxacin
MA02BD11	pantoprazol, amoxicillin, clarithromycin og metronidazol
MA02BX	andre midler mod mavesår og gastro-oesophageal reflux (gord)
MA02BX01	carbenoxolon
MA02BX02	sucralfat
MA02BX03	pirenzepin
MA02BX04	methiosulfoniumchlorid
MA02BX05	bismuthsubcitrat
MA02BX06	proglumid
MA02BX07	gefarnat
MA02BX08	sulglicotid
MA02BX09	acetoxolon
MA02BX10	zolimidin
MA02BX11	troxipid
MA02BX12	bismuthsubnitrat
MA02BX13	alginsyre
MA02BX14	rebamipid
MA02BX51	carbenoxolon, komb. excl. psycholeptica
MA02BX71	carbenoxolon, komb. med psycholeptica
MA02BX77	gefarnat, komb. med psycholeptica
MA12BA	kalium
MA12BA01	kaliumchlorid
MA12BA02	kaliumcitrat
MA12BA03	kaliumhydrogentartrat
MA12BA04	kaliumhydrogencarbonat
MA12BA05	kaliumgluconat
MA12BA30	kombinationer
MA12BA51	kaliumchlorid, kombinationer
KZLB01	anvendelse af ventiler
KZLB02	anvendelse af polymer gel
KZLB03	anvendelse af coils

