Kode	Tekst
BAHY31B	Behandling med (PHT) phenytoin
BAHY31C	Behandling med amino(diphenylhydantoin)valerianesyre
BAHY31D	Behandling med mephenytoin
BAHY31E	Behandling med (FOS) fosphenytoin
BAHY31V	Behandling med phenytoin, kombinationer
BAHY31W	Behandling med mephenytoin, kombinationer
BAHY32	Behandling med oxazolidin-derivater
BAHY32A	Behandling med paramethadion
BAHY32B	Behandling med trimethadion
BAHY32C	Behandling med ethadion
BAHY33	Behandling med succinimid-derivater
BAHY33A	Behandling med (ESM) ethosuximid
BAHY33B	Behandling med phensuximid
BAHY33C	Behandling med mesuximid
BAHY33V	Behandling med ethosuximid, kombinationer
BAHY34	Behandling med benzodiazepin-derivater (antiepileptika)
BAHY34A	Behandling med (CZP) clonazepam
BAHY35	Behandling med carboxamid-derivater
BAHY35A	Behandling med (CBZ) carbamazepin
BAHY35B	Behandling med (OXC) oxcarbazepin
BAHY35C	Behandling med (ESL) eslicarbazepin
BAHY35D	Behandling med (RFA) rufinamid
BAHY36	Behandling med fedtsyre-derivater
BAHY36A	Behandling med (VPA) valproinsyre
BAHY36B	Behandling med valpromid
BAHY36C	Behandling med aminobutylsyre
BAHY36D	Behandling med (VGB) vigabatrin
BAHY36E	Behandling med progabid
BAHY36F	Behandling med (TGB) tiagabin
BAHY38	Behandling med andre antiepileptika
BAHY38A	Behandling med (STM) sultiam
BAHY38B	Behandling med phenacemid
BAHY38C	Behandling med (LTG) lamotrigin
BAHY38D	Behandling med (FBM) felbamat
BAHY38E	Behandling med (TPM) topiramat
BAHY38F	Behandling med (GBP) gabapentin
BAHY38G	Behandling med pheneturid
BAHY38H	Behandling med (LEV) levetiracetam
BAHY38J	Behandling med (ZNS) zonisamid
BAHY38K	Behandling med beclamid
BAHY38L	Behandling med (PGL) pregabalin
BAHY38M	Behandling med (AZA) acetazolamid
BAHY38N	Behandling med (PPF) propofol
BAHY38O	Behandling med brivaracetam
BAHY38P	Behandling med (LCA) lacosamid
BAHY38Q	Behandling med (STP) stiripentol
BAHY38R	Behandling med (RTG) retigabin
BAHY38S	Behandling med perampanel
BAHY4	Behandling med antiparkinsonmiddel
BAHY5	Behandling med antikolinergika
BAHY6	Behandling med lokalanæstetika
BAHY60	Behandling med capsaicin
BAHY7	Behandling med kaliumkanalblokker
BAHY70	Behandling med fampridin
BAK	Pædagogiske interventioner med relation til nervesystemet
BAKA	Undervisning af patient i epilepsi
BAKH	Vejledning i interferonbehandling
BAL	Soignering med mere med relation til nervesystemet
BALF	Soignering af perkutan adgang til nervesystemet
BALF0	Soignering af epiduralkateter
BAV	Pleje ved lidelse i nervesystemet
BAVA	Generel pleje ved lidelse i nervesystemet
BAVB	Speciel pleje ved lidelse i nervesystemet
BAX	Andre interventioner med relation til nervesystemet
BAXY	Interventioner med relation til nervesystemet ikke klassificeret andetsteds
BAXY1	Intensiv neurorehabilitering på højt specialiseret central enhed
BAXY2	Intensiv neurorehabilitering på decentral enhed
BAXY3	Behandling af rygmarvsskadet på højt specialiseret, central enhed
BAXY4	Overvågning ved ændring af antiepileptisk behandling
BAXY40	Overvågning ved nedtrapning af antiepileptisk behandling
BAXY41	Overvågning ved optrapning af antiepileptisk behandling
BAXY42	Overvågning ved uændret antiepileptisk behandling
BAXY5	Registrering af epileptiske anfald
BAXY50	Observation for epileptiske anfald og brug af anfaldskalender
BAXY51	Registrering epileptiske anfald ved brug af video uden tidstro overvågning
BAXY6	Anden specialiseret epilepsibehandling
BAXY60	Specialiseret epilepsibehandling i relation til graviditet
BB	Det endokrine system og metaboliske lidelser
BBH	Medikamentel behandling med midler med virkning på det endokrine system og andre metaboliske lidelser
BBHA	Peroral diabetesbehandling
BBHA0	Behandling med peroralt antidiabeticum
BBHA00	Behandling med insulinstimulerende middel
BBHA01	Behandling med glukosehæmmende middel
BBHB	Antithyroid behandling
BBHC	Behandling med midler mod adipositas
BBHD	Behandling med enzymer
BBHD1	Behandling med laronidase
BBHD2	Behandling med agalsidase-alfa
BBHD3	Behandling med agalsidase-beta
BBHD4	Behandling med imiglucerase
BBHD5	Behandling med alglucosidase-alfa
BBHD6	Behandling med galsulfase
BBHD7	Behandling med idursulfatase
BBHD8	Behandling med velaglucerase
BBHE	Behandling med enzymhæmmere
BBHE1	Behandling med nitisinon
BBHF	Hormonbehandling
BBHF0	Insulinbehandling
BBHF00	Insulinbehandling, en- til to-gangs terapi
BBHF01	Insulinbehandling, basal og bolus
BBHF02	Insulinpumpebehandling
BBHF1	Behandling med thyroideahormon
BBHF2	Behandling med hypofysehormon
BBHF3	Behandling med binyrebarkhormon
BBHF32	Behandling med højdosis binyrebarkhormon
BBHF4	Behandling med biskjoldbruskkirtelhormon
BBHF5	Behandling med hypothalamus hormoner og analoger
BBHF51	Behandling med octreotid
BBHF52	Behandling med lanreotid
BBHF9	Hormonbehandling ikke klassificeret andetsteds
BBHF90	Hormonsubstitutionsbehandling ikke klassificeret andetsteds
BBHG	Behandling med kønshormoner og gonadotrope hormoner
BBHG0	Behandling med kvindeligt kønshormon
BBHG1	Behandling med mandligt kønshormon
BBHG3	Behandling med gonadotropt hormon
BBHG30	Behandling med indirekte ovariestimulerende middel
BBHG31	Behandling med FSH (follikelstimulerende hormon) og LH (luteiniserende hormon)
BBHG31A	Behandling med rekombinant samt højt oprenset follikelstimulerende hormon (FSH)
BBHG31B	Behandling med hMG (humant menopause gonadotropin, blandingsprodukt af FSH og LH)
BBHG32	Behandling med GnRH (gonadotropin releasing hormone) agonist
BBHG33	Behandling med GnRH (gonadotropin releasing hormone) antagonist
BBHG35	Behandling med hCG (humant chorion gonadotropin)
BBHG35A	hCG (humant chorion gonadotropin) behandling mhp. ovulationsinduktion
BBHG36	Behandling mhp. lutealfase support (progesteron og østradiol)
BBHG38	Anden medikamentel behandling ved IVF eller insemination
BBHG381	Anden medikamentel behandling ved IVF
BBHH	Behandling med aminosyrer og derivater
BBHH1	Behandling med natriumphenylbutyrat
BBHH2	Behandling med cargluminsyre
BBHH3	Behandling med cysteamin
BBHJ	Behandling med syrepræperater
BBHJ1	Behandling med betainhydroclorid
BBHM	Medikamentel behandling ved metabolisk lidelse
BBHM0	Medikamentel behandling ved metabolisk knoglelidelse
BBHY	Medikamentel behandling med midler med virkning på det endokrine system og metaboliske lidelser ikke klassificeret andetsteds
BBHY0	Medikamentel behandling af metabolisk knoglesygdom ikke klassificeret andetsteds
BBK	Pædagogiske interventioner med relation til det endokrine system og andre metaboliske lidelser
BBKA	Oplæring i blodsukkermåling
BBKB	Oplæring i injektion af insulin
BBV	Pleje ved lidelse i det endokrine system og metaboliske lidelser
BBVA	Generel pleje ved lidelse i det endok system og metaboliske lidelser
BBVB	Speciel pleje ved lidelse i det endok system og metaboliske lidelser
BBX	Andre interventioner med relation til det endokrine system
BBXA	Procedure med relation til det endokrine system ikke klassificeret andetsteds
BBXW	Andre behandlinger med relation til det endokrine system
BBXWA	Behandling med cinacalcet
BC	Øje og øjenomgivelser
BCD	Øjenbehandling med hjælpemidler og proteser
BCDD	Synskorrektion
BCDD0	Synskorrigerende behandling
BCDD01	Behandling med briller
BCDD02	Behandling med kontaktlinser
BCDD03	Behandling med svagtsynsoptik
BCDD9	Optisk behandling ikke klassificeret andetsteds
BCDE	Behandling med øjenprotese
BCDZ	Delprocedure ved behandling med øjenproteser
BCDZ0	Måltagning til øjenprotese
BCDZ1	Tilpasning af øjenprotese
BCF	Behandling af funktionsfejl i relation til synet
BCFL	Skelebehandling
BCFL0	Ortoptisk behandling
BCH	Medikamentel øjenbehandling
BCHY	Behandling med midler mod øjensygdom ikke klassificeret andetsteds
BCHY0	Oftalmologisk lokalbehandling med antibiotika
BCHY00	Lokalbehandling af bakteriel infektion i øje
BCHY01	Lokalbehandling af virusinfektion i øje
BCHY1	Lokalbehandling af øje med antiinflammatorisk middel
BCHY2	Lokalbehandling af øje med antiallergisk middel
BCHY3	Medikamentel glaukombehandling
BCHY8	Anden oftalmologisk behandling
BCHY8A	Oftalmologisk behandling med VEGF-hæmmer (Vascular endothelial growth factor-hæmmer)
BCK	Pædagogiske interventioner i forbindelse med behandling af øjensygdom
BCKA	Instruktion i behandling med øjendråber
BCKA0	Instruktion i drypning af øje
BCKA00	Instruktion af patient i drypning af øje
BCKA01	Instruktion af pårørende i drypning af øje
BCL	Rensning og vask med relation til øje
BCLA	Øjenskylning
BCLB	Rensning af øjenprotese og kontaktlinser
BCLB0	Rensning af kontaktlinser
BCLB1	Rensning af øjenprotese
BCLF	Forbinding af øje
BCLF0	Pålægning af øjenforbinding
BCLF1	Fjernelse af øjenforbinding
BCV	Pleje ved lidelse i øje og øjenomgivelser
BCVA	Generel pleje ved lidelse i øje og øjenomgivelser
BCVB	Speciel pleje ved lidelse i øje og øjenomgivelser
BCX	Andre interventioner med relation til øje
BCXA	Kompenserende handling ved behandling med kontaktlinse, protese m.m.
BCXA0	Kompenserende handling mhp. anvendelse af kontaktlinser
BCXA1	Kompenserende handling mhp. anvendelse af øjenprotese
BCXB	Drypning af øje
BCXC	Injektionsbehandling af lidelser i øje og øjenomgivelser
BCXC1	Injektionsbehandling af øjenmuskler med botulinum
BCXY	Interventioner med relation til øjet og øjenomgivelser ikke klassificeret andetsteds
BCXY0	Påsætning af øjenklap
BD	Øre, næse, hals, strube og ansigt
BDD	Behandling med høreapparat
BDDA	Høreapparatbehandling
BDDA0	Behandling med kanalhøreapparat
BDDA1	Behandling med conchahøreapparat
BDDA2	Behandling med ørehænger
BDDA3	Behandling med lommehøreapparat
BDDB	Speciel høreapparatbehandling
BDDB0	Høreapparatbehandling, BC (bone conductor)
BDDB1	Høreapparatbehandling, cross (contra routing of signal)
BDDB2	Høreapparatbehandling, bicross (bilateral routing of signal)
BDDC	Udlevering af høreapparat
BDDD	Teknisk service til høreapparatbruger
BDDD5	Fremstilling af øreprop
BDDD50	Fremstilling af ekstern øreprop
BDDD51	Fremstilling af intern øreprop
BDDD58	Aftryk til øreprop
BDDD6	Tilpasning af høreapparat
BDDD60	Justering af programmerbart høreapparat
BDDD61	Tilpasning af høreapparat i frit felt
BDDD62	Indstilling og justering af cochlea-implantat
BDDD63	Udskiftning af processor i cochlea-implantat
BDDD8	Reparation af høreapparat og tilbehør
BDDD80	Reparation af høreapparat
BDDD81	Reparation af øreprop
BDDD82	Service i forbindelse med øreprop
BDH	Medikamentel oto-rhino-laryngologisk behandling
BDHY	Medikamentel oto-rhino-laryngologisk behandling ikke klassificeret andetsteds
BDHY0	Behandling med rhinologicum
BDHY00	Behandling med slimhindeadstringerende middel (næse)
BDHY01	Lokalbehandling med glukocorticosteroid (næse)
BDHY1	Medikamentel behandling af lidelse i ydre øre
BDHY2	Medikamentel behandling af lidelse i mellemøre
BDHY20	Medikamentel behandling af transportsyge og vestibulære symptomer
BDK	Pædagogiske interventioner med relation til oto-rhino-laryngologisk behandling
BDKA	Instruktion af høreapparatbruger
BDKA0	Instruktion i anvendelse af kanalhøreapparat
BDKA1	Instruktion i anvendelse af conchahøreapparat
BDKA2	Instruktion i anvendelse af ørehænger
BDKA3	Instruktion i anvendelse af lommehøreapparat
BDKC	Vejledning vedrørende behandling af allergisk rhinitis
BDKC0	Vejledning vedrørende forebyggende behandling af allergisk rhinitis
BDL	Skiftning, rensning og soignering m.m. med relation til øret
BDLA	Skiftning med relation til otologisk behandling
BDLF	Rensning og soignering med relation til øret
BDLF0	Rensning af høreapparat
BDLF1	Fjernelse af ørevoks
BDLF10	Instrumentel fjernelse af ørevoks
BDLF11	Fjernelse af ørevoks ved skylning
BDLF2	Oprensning af radikalkavitet
BDLF6	Mechefjernelse fra øregang
BDU	Interventioner i forbindelse med rekonstruktioner
BDUA	Påsætninger af kunstigt fremstillet protese
BDUA1	Påsætninger af kunstigt fremstillet protese i ansigt
BDUA10	Påsætning af kunstigt fremstillet næse
BDUA11	Påsætning af kunstigt fremstillet øre
BDUA12	Påsætning af kunstigt fremstillet næse og øje
BDUA13	Påsætning af kunstigt fremstillet mellemansigt
BDV	Pleje ved lidelse i øre, næse, hals og strube
BDVA	Generel pleje ved lidelse i øre, næse, hals og strube
BDVB	Speciel pleje ved lidelse i øre, næse, hals og strube
BDX	Andre interventioner med relation til øre, næse, hals og strube
BDXA	Otologisk behandling ikke klassificeret andetsteds
BDXA3	Sugebehandling a.m. Proetz
BDXC	Injektionsbehandling med botulinum toxin
BDXC1	Injektionsbehandling af ansigtsmuskler med botulinum toxin
BDXC2	Injektionsbehandling af halsmuskler med botulinum toxin
BDXC3	Injektionsbehandling i stemmelæber med botulinum toxin
BDXC4	Injektionsbehandling i subcutis med botulinum toxin
BDXH	Interventioner vedrørende brug af høreapparat ikke klassificeret andetsteds
BDXH0	Kompenserende handling ved anvendelse af høreapparat
BDXH00	Kompenserende handling ved anvendelse af kanalhøreapparat
BDXH01	Kompenserende handling ved anvendelse af conchahøreapparat
BDXH02	Kompenserende handling ved anvendelse af ørehænger
BDXH03	Kompenserende handling ved anvendelse af lommehøreapparat
BDXY	Oto-rhino-laryngologisk intervention ikke klassificeret andetsteds
BDXY1	Auditiv verbal terapi (AVT)
BDXY5	Behandling med tale-ventil
BDXY51	Skiftning af tale-ventil
BDXY6	Behandling med Meniet-apparatur
BE	Mundhule og svælg
BEC	Tandbehandling på implantater
BECA	Behandling på tandimplantater
BECA0	Udskiftning af distance
BECA1	Behandling med krone på enkelttandsimplantat
BECA10	Behandling med krone på enkelttandsimplantat i overkæben
BECA11	Behandling med krone på enkelttandsimplantat i underkæben
BECA2	Behandling med bro på implantater i delvis betandet kæbe
BECA20	Behandling med bro på implantater i delvis betandet overkæbe
BECA21	Behandling med bro på implantater i delvis betandet underkæbe
BECA3	Behandling med fuldbro på implantater
BECA30	Behandling med fuldbro på implantater i overkæbe
BECA31	Behandling med fuldbro på implantater i underkæbe
BECA4	Dækprotesebehandling på implantater
BECA40	Dækprotesebehandling på implantater i overkæbe
BECA41	Dækprotesebehandling på implantater i underkæbe
BECA5	Lokalbehandling omkring tandimplantat
BECA7	Behandling med foreløbig krone, bro og protese på implantater
BECA8	Reparation af krone, bro og protese på implantater
BED	Protesebehandling ved tandlidelser
BEDA	Behandling med tandproteser
BEDA0	Behandling med tandprotese (helprotese)
BEDA00	Behandling med helprotese i overmund
BEDA01	Behandling med helprotese i undermund
BEDA1	Behandling med tandprotese (partiel)
BEDA10	Behandling med delprotese i overmund
BEDA11	Behandling med delprotese i undermund
BEDA4	Rebasering og duplikering af tandprotese
BEDA8	Reparation af tandprotese
BEF	Mund-, svælg- og ansigtsstimulation
BEFA	Isstimulation
BEFB	Mimiske øvelser
BEFC	Fasciooral behandling
BEH	Medikamentel behandling med virkning på lidelser i tænder, kæber, mund og svælg
BEHO	Injektionsbehandling af lidelser i kæbeled og tyggemuskler
BEHO0	Injektionsbehandling af kæbeled
BEHO00	Injektionsbehandling af kæbeled med analgeticum
BEHO01	Injektionsbehandling af kæbeled med glucokortikoid
BEHO02	Injektionsbehandling af kæbeled med autologt blod
BEHO03	Injektionsbehandling af kæbeled med hyaluronsyre
BEHO1	Injektionsbehandling af tyggemuskler
BEHO10	Injektionsbehandling af tyggemuskler med analgeticum
BEHO11	Injektionsbehandling af tyggemuskler med glucokortikoid
BEHO12	Injektionsbehandling af tyggemuskler med botulinum
BEHO2	Injektionsbehandling af spytkirtler med botulinum
BEHR	Medikamentel behandling af tænder, kæber, mund og svælg
BEHR0	Medikamentel lokalbehandling af mundhule og svælg
BEHR00	Medikamentel lokalbehandling af læber
BEHR01	Medikamentel lokalbehandling af mundslimhinde
BEHR02	Medikamentel lokalbehandling af svælg
BEHR03	Medikamentel lokalbehandling af parodontium
BEHR04	Medikamentel lokalbehandling omkring tandimplantat
BEHY	Medikamentel behandling af lidelse i mundhule og svælg ikke klassificeret andetsteds
BEK	Pædagogiske interventioner vedrørende tand- og mundpleje
BEKA	Instruktion i mundhygiejne
BEKA0	Instruktion i tandpleje
BEKA00	Instruktion i tandbørstning
BEKA01	Instruktion i fluorskylning
BEN	Behandling af lidelser i kæbeled og tyggemuskler
BENA	Behandling af kæbeled og tyggemuskler med bidskinne
BENA0	Behandling af kæbeled med bidskinne
BENA00	Aftryk til bidskinne ved behandling af kæbeled
BENA01	Tilpasning af bidskinne ved behandling af kæbeled
BENA1	Behandling af tyggemuskler med bidskinne
BENA10	Aftryk til bidskinne ved behandling af tyggemuskler
BENA11	Tilpasning af bidskinne ved behandling af tyggemuskler
BEO	Behandling af tænder
BEOA	Behandling med tandfyldning, krone, bro m.m.
BEOA0	Behandling med tandfyldning
BEOA00	Behandling med sølvamalgamfyldning
BEOA01	Behandling med plastfyldning
BEOA02	Behandling med glasionomercementfyldning
BEOA1	Behandling med indlæg, krone og bro
BEOA10	Behandling med indlæg
BEOA11	Behandling med krone
BEOA12	Behandling med bro
BEOA5	Behandling med foreløbig tandfyldning
BEOA6	Overdækning af dentinflader ved tandfraktur
BEOB	Rodbehandling
BEOB0	Overkapning
BEOB1	Koronal amputation
BEOB2	Pulpaextirpation
BEOB3	Ortograd rodfyldning
BEOB4	Retrograd rodfyldning
BEOB5	Skift af rodfyldning
BEOE	Beslibning af tænder
BEOE0	Okklusions- og artikulationsslibning af tænder
BEOG	Intermaxillær fiksation
BEOG0	Anlæggelse af elastisk intermaxillær fiksation
BEOG1	Anlæggelse af stiv intermaxillær fiksation
BEOL	Tandbehandling med skinner
BEOL0	Behandling med beskyttelsesskinne
BEOL1	Behandling med tandskinne
BEOL1A	Behandling med standard tandskinne
BEOL1B	Behandling med individuelt tilpasset tandskinne
BEOM	Behandling af kæbefraktur med midlertidig fiksation
BEOM0	Anlæggelse af midlertidig fiksation af underkæbefraktur
BEOM1	Anlæggelse af midlertidig fiksation af overkæbefraktur
BEOT	Fjernelse af fiksationer på tænder
BEOT0	Fjernelse af intermaksillær fiksation
BEOT1	Fjernelse af intermaksillære fiksationsskinner
BEOT2	Fjernelse af tandfiksation
BEOT3	Fjernelse af midlertidige fiksationer af kæbefrakturer
BEOT4	Fjernelse af fast apparatur til tandregulering
BEP	Tandregulering
BEPA	Regulering af tænder
BEPA0	Regulering af tænder med fast apparatur
BEPA1	Regulering af tænder med aftageligt apparatur
BEV	Pleje ved lidelse i mundhule og svælg
BEVA	Generel pleje ved lidelse i mundhule og svælg
BEVB	Speciel pleje ved lidelse i mundhule og svælg
BEX	Andre interventioner med relation til tænder, kæber, mund og svælg
BEXC	Parodontalbehandling
BEXC0	Tandrensning
BEXY	Interventioner med relation til tænder, kæber, mund og svælg ikke klassificeret andetsteds
BEXY0	Aftryk til modeller
BEXY1	Træning af intervention
BEXY9	Odontologisk behandling ikke klassificeret andetsteds
BF	Hjerte og store kar
BFC	Behandling med kardiel pacemaker og cardioverter-defibrillator
BFCA	Procedurer i forbindelse med kardiel pacemakerbehandling
BFCA0	Implantation af transvenøs kardiel pacemaker
BFCA01	Implantation af transvenøs kardiel pacemaker med ventrikulær elektrode
BFCA02	Implantation af transvenøs kardiel pacemaker med atrial elektrode
BFCA03	Implantation af transvenøs kardiel pacemaker med atrial og ventrikulær elektrode
BFCA04	Implantation af transvenøs multi-site kardiel pacemaker med atrielle elektroder
BFCA05	Implantation af transvenøs multi-site kardiel pacemaker med ventrikulære elektroder
BFCA06	Implantation af transvenøs multi-site kardiel pacemaker med elektroder i flere lokaliteter
BFCA07	Implantation af VDD pacemaker
BFCA08	Perkutan transluminal implantation af intrakardiel ledningsfri pacemaker
BFCA1	Udskiftning af kardiel pacemaker
BFCA10	Udskiftning af kardiel pacemaker - 1-kammer
BFCA11	Udskiftning af kardiel pacemaker - 2-kammer
BFCA12	Udskiftning af kardiel pacemaker - anden
BFCA2	Opgradering af kardiel pacemaker
BFCA20	Opgradering af kardiel pacemaker inklusive supplerende elektrode til 2-kammer funktion
BFCA21	Opgradering af kardiel pacemaker inklusive supplerende elektrode(r) til multisite funktion
BFCA25	Nedgradering af kardiel pacemaker til 1-kammer system
BFCA3	Revision af pacemaker
BFCA30	Revision af kardiel pacemaker
BFCA31	Revision af kardiel paceelektrode
BFCA4	Fjernelse af kardiel pacemaker
BFCA5	Anvendelse af loop recorder
BFCA50	Implantation af loop recorder
BFCA51	Fjernelse af loop recorder
BFCA52	Udskiftning af loop recorder
BFCA53	Aflæsning af Loop Recorder
BFCA6	Implantation af transvenøs kardiel paceelektrode
BFCA61	Implantation af paceelektrode til højre ventrikel
BFCA62	Implantation af transvenøs paceelektrode til atriet
BFCA63	Implantation af paceelektrode til venstre ventrikel pacing
BFCA64	Implantation af paceelektrode til venstre atrie pacing
BFCA7	Replacering af disloceret paceelektrode
BFCA70	Replacering af disloceret transvenøst anlagt atriel paceelektrode
BFCA71	Replacering af disloceret transvenøst anlagt ventrikulær paceelektrode
BFCA73	Replacering af disloceret paceelektrode til venstre ventrikel pacing
BFCA8	Ekstraktion af transvenøs paceelektrode
BFCA80	Ekstraktion af transvenøs paceelektrode, simpel (antal)
BFCA81	Ekstraktion af transvenøs paceelektrode, laserteknik (antal)
BFCA82	Ekstraktion af transvenøs paceelektrode, sheath-system (antal)
BFCA9	Anlæggelse af temporær transvenøs paceelektrode
BFCA90	Anlæggelse af temporær transvenøs paceelektrode - 1-kammer
BFCA91	Anlæggelse af temporære transvenøse paceelektroder - 2-kammer
BFCB	Procedurer i forbindelse med cardioverter-defibrillator behandling
BFCB0	Implantation af cardioverter-defibrillator
BFCB00	Implantation af cardioverter-defibrillator til ventrikulær tachycardi, 1-kammer funktion
BFCB01	Implantation af cardioverter-defibrillator til ventrikulær tachycardi, 2-kammer funktion
BFCB02	Implantation af cardioverter-defibrillator til atrieflimren
BFCB03	Implantation af cardioverter-defibrillator - multisite
BFCB04	Implantation af cardioverter-defibrillator med subkutan elektrode
BFCB2	Opgradering af cardioverter-defibrillator
BFCB20	Opgradering af cardioverter-defibrillator inkl. supplerende elektrode til 2-kammer funktion
BFCB21	Opgradering af cardioverter-defibrillator inkl. supplerende elektrode(r) til multisite funktion
BFCB25	Nedgradering af cardioverter-defibrillator til 1-kammer system
BFCB3	Revision af cardioverter-defibrillator
BFCB30	Revision og flytning af cardioverter-defibrillator
BFCB31	Revision og forsænkning af cardioverter-defibrillator elektrode
BFCB4	Fjernelse af cardioverter-defibrillator
BFCB5	Udskiftning af cardioverter-defibrillator
BFCB50	Udskiftning af cardioverter-defibrillator - 1-kammer funktion
BFCB51	Udskiftning af cardioverter-defibrillator - 2-kammer funktion
BFCB52	Udskiftning af cardioverter-defibrillator - til atrieflimren
BFCB53	Udskiftning af cardioverter-defibrillator - multi-site
BFCB6	Implantation af cardioverter-defibrillator elektrode
BFCB60	Implantation af supplerende vena cava-elektrode til cardioverter-defibrillator
BFCB61	Implantation af supplerende subkutan elektrode til cardioverter-defibrillator
BFCB62	Implantation af epikardiel patch-elektrode til cardioverter-defibrillator
BFCB63	Implantation af supplerende sense elektrode til cardioverter-defribrillator
BFCB7	Replacering af disloceret cardioverter-defibrillator elektrode
BFCB8	Ekstraktion af cardioverter-defibrillator elektrode
BFCB80	Ekstraktion af cardioverter-defibrillator elektrode, simpel (antal)
BFCB81	Ekstraktion af cardioverter-defibrillator elektrode, laserteknik (antal)
BFCB82	Ekstraktion af cardioverter-defibrillator elektrode, sheath-system (antal)
BFCY	Procedure i forbindelse med kardiel pacemakerbehandling ikke klassificeret andetsteds
BFCY0	Zoll pacing
BFF	Andre behandlinger ved kardiele rytmeforstyrrelser
BFFA	Eksternt anvendt procedure ved behandling af kardiele rytmeforstyrrelser
BFFA0	Defibrillering og konvertering
BFFA00	Ekstern DC-konvertering
BFFA01	Cardioversio DC synchronisata
BFFA03	Defibrillatio ventriculorum asynchronisata
BFFA04	Defibrillatio atriorum DC synchronisata
BFFA05	Transvenøs DC-konvertering
BFFA6	Hjertemassage
BFFA60	Ekstern hjertemassage
BFFA60A	Ekstern hjertemassage med anvendelse af mekanisk bryst kompression
BFFA61	Åben (intern) hjertemassage
BFFB	Radiofrekvensablation
BFFB0	Radiofrekvensablation ved atrielle rytmeforstyrrelser
BFFB00	Radiofrekvensablation mhp. sinusknude modifikation
BFFB01	Radiofrekvensablation ved fokal atrial takykardi
BFFB02	Radiofrekvensablation ved incessant atrial takykardi
BFFB03	Radiofrekvensablation ved fluctuatio atriorum
BFFB04	Radiofrekvensablation ved fibrillatio atriorum
BFFB1	Radiofrekvensablation ved Wolff-Parkinson-White syndrom
BFFB10	Radiofrekvensablation via højre ventrikel ved Wolff-Parkinson-White syndrom
BFFB11	Radiofrekvensablation retrogradt via venstre ventrikel ved Wolff-Parkinson-White syndrom
BFFB12	Radiofrekvensablation transseptalt ved Wolff-Parkinson-White syndrom
BFFB2	Radiofrekvensablation ved atrioventrikulære rytmeforstyrrelser
BFFB20	Radiofrekvensablation ved atrioventrikulær nodal re-entry takykardi via højre ventrikel
BFFB21	Radiofrekvensablation ved atrioventrikulær nodal re-entry takykardi via venstre ventrikel
BFFB22	Radiofrekvensablation mhp. atrioventrikulær knude modifikation
BFFB23	Radiofrekvensablation ved permanent junctional reentry takykardi
BFFB3	Radiofrekvensablation af His bundt
BFFB30	Radiofrekvensablation af His bundt via højre ventrikel
BFFB31	Radiofrekvensablation af His bundt via venstre ventrikel
